"product_name","description","image_link","price","rating","store_name"
"Infinix Hot 9 Play 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/7/2/2608727/2608727_e2c528f4-070b-4290-a8da-0d8a4615a14d_800_800.webp?ect=4g","Rp1.417.000",5,"Gudang-HP"
"Samsung Galaxy A21s 6/128 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/22/a8592a4d-a15e-467f-ab9b-4b963fc282ca.jpg.webp?ect=4g","Rp2.721.000",5,"Gudang-HP"
"Infinix Hot 10 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/19/531d1614-2dfb-4dc6-b85d-4e1b959f095f.jpg.webp?ect=4g","Rp1.574.000",5,"Gudang-HP"
"XIAOMI REDMI 9C RAM 4/64 GB GARANSI RESMI","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/23/2e900f6b-8fc8-4277-9df0-8a288831d07c.jpg.webp?ect=4g","Rp1.565.000",5,"Q-Store Pedia"
"Samsung Galaxy M11 3GB/32GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/5/27/2608727/2608727_529ab86e-4046-4e40-9b1f-16eec32cf2a2_800_800.webp?ect=4g","Rp1.564.000",5,"Gudang-HP"
"Samsung Galaxy A02s Smartphone [4 GB/ 64 GB]","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/8/cb51aef8-e055-4b3e-907c-1ce89e164282.jpg.webp?ect=4g","Rp1.779.000",5,"PRISMA ROXY"
"Infinix Hot 10 Play 2/32 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/18/8604e2ee-0c36-4c88-b881-5316f70874d5.jpg.webp?ect=4g","Rp1.183.000",5,"Gudang-HP"
"Xiaomi Redmi 9c 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/9/16/2608727/2608727_bf5565ab-5b35-4026-9717-22b34ddba357_800_800.webp?ect=4g","Rp1.563.000",5,"Gudang-HP"
"Xiaomi Poco M3 6/128 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/29/324af673-a845-4ce7-82ed-1cdbbd42bd9e.jpg.webp?ect=4g","Rp2.239.000",5,"Gudang-HP"
"Xiaomi Redmi Note 9 6/128 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/6/18/2608727/2608727_a9cc5f8e-5233-4835-81ec-9221fd0c56a6_800_800.webp?ect=4g","Rp2.399.000",5,"Gudang-HP"
"Xiaomi Poco M3 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/29/02556865-d03d-4e36-a9af-7185ea23d036.jpg.webp?ect=4g","Rp1.899.000",5,"Gudang-HP"
"Xiaomi Redmi 9A 3/32 3GB 32GB Garansi Resmi Tam","Jakarta Selatan","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/2/17/78005548-90d3-4b58-81b2-cee6aec57e5e.jpg.webp?ect=4g","Rp1.175.000",5,"murahmeriah shop"
"Xiaomi Redmi 9 4/64 GB Garansi Resmi","Jakarta Pusat","https://images.tokopedia.net/img/cache/200-square/product-1/2020/7/21/2608727/2608727_1cb935dd-cbbf-4af8-a28c-eb4a25816779_800_800.webp?ect=4g","Rp1.689.000",5,"Gudang-HP"
"OPPO A5S 3/32 GB","Jakarta Barat","https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/91e42e27-50e5-4f4e-866c-863e45c3667f.jpg.webp?ect=4g","Rp1.308.000",5,"Zhongkai Jianba"
